카테고리,채널명,채널ID,설명,구독자 수,영상 수,총 조회수
영화 리뷰,영화리뷰하는사람,UCu4SDxJgLoSnNwdWG4SDj7A,"안녕하세요! '영화리뷰하는사람'입니다.

영화의 매력에 빠진 지 오래된 저는, 그동안의 영화 감상 경험을 여러분과 나누고 싶어서 이 채널을 시작했습니다. 최신 블록버스터부터 숨겨진 인디 명작까지, 다양한 영화들을 리뷰하며 솔직하고 깊이 있는 분석을 전하도록 하겠습니다.

저는 영화가 주는 다양한 감정과 메시지를 좋아합니다. 그래서 시청자분들이 좋은 영화를 발견하는 데 도움을 주고 싶습니다. 매주 새로운 영화 리뷰와 재미있는 얘를 통해, 다음 영화 선택에 유용한 정보를 드리려 합니다. 영화의 신선한 트렌드와 클래식의 매력을 함께 즐기고 싶다면, 채널을 구독하고 댓글로 여러분의 생각도 나눠주세요!

영화리뷰하는사람과 함께 영화의 세계를 더 재미있게 탐험해 봐요!
",14100,5,5117967
영화 리뷰,망고 무비,UCnWR9GjfjW_fiD9iaIQgdrw,"혼자만 보기 아까운 영화와 드라마를 소개해드립니다 :)
",34200,206,18816075
영화 리뷰,기묘한 무비,UCGso5ZptdjRCXBMiFqDlZRA,"기묘한 무비입니다.

미스터리, 스릴러, SF, 공포 등의 장르 영화를 리뷰합니다.

제보/문의 : kimyohan.movie@gmail.com
",142000,95,43364589
영화 리뷰,Popcorn & Coke Review,UCQtSkfvKq209UVGGqWwNEDg,"안녕하세요! 팝콘콜라 영화 리뷰 유투브 채널에 오신 여러분을 진심으로 환영합니다!

다양한 장르의 영화를 소개, 리뷰, 분석하는 채널입니다.

오셔서 즐거운 시간 보내시고 구독과 좋아요 를 눌러 주세요!

앗! 그리고 팝콘과 콜라를 꼭 챙겨주세요!

그럼 오늘도 좋은 하루 되시기 바랍니다 ^^",597000,935,352783105
영화 리뷰,리뷰 MASTER,UCul4FTKARC-EaBq0e8UH7RA,"세상의 영화를 당신의 눈앞에

▶ 소통 및 비즈니스 문의 : reviewmaster45@naver.com
",397000,212,199694506
영화 리뷰,감자무비,UCVSxU28wrYmGUbzPgiRKKVw,편안한 영화리뷰,62200,52,29230655
영화 리뷰,채널휸_리뷰하는 남자,UCBkQBbLRYSX4uH799TRqUEw,"당신이 무언가 보고싶은 그 순간,
떠올릴 수 있는 콘텐츠를 소개해드리려 합니다 :)

------------
",74400,62,31729414
영화 리뷰,리뷰엉이: Owl's Review,UCrBpV_pG2kyMMEHCMTNzjAQ,"과학과 영화가 중첩되어 있는 유튜버 리뷰엉이.
비즈니스 문의 - vvongyea@gmail.com
",1730000,675,576465276
영화 리뷰,후라이티비영화리뷰[FRY TV],UCy5VbV5RIq7Sm5OKlwF0_jQ,"📽1990~2000년대 추억의 영화 전문 채널입니다.
어떤 영화는 어릴 적 재미와 감동이 고스란히 전해지는 반면,
어떤 영화는 당시에 느끼지 못했던 감동과 의미가 새롭게 다가올 수 있습니다!   

🍳 법인 공장에서 찍어내는 기업형 리뷰가 아닌 영혼을 담아서 튀겨내는 리뷰입니다.
영화 곳곳에 숨겨진 깨알 같은 추억의 재미들을 함께하실 수 있습니다.

🐣직접보고 재미있게 본 영화만  리뷰합니다(망작X)

🎞Friday에는 FRY TV와 함게!

*관람료 : 구독과 좋아요 및 댓글! (모든 댓글에 빠지지 않고 소통하고 있습니다. 저의 낙입니다!^^)
",19700,28,22322974
영화 리뷰,신기누설: 영화를 그리다,UCgMawr4F7HQML8kqROLeobQ,"💡영상 업로드 시간은 오후 7시 30분입니다.💡

신기누설(神機漏泄): 비밀(秘密)에 속(屬) 하는 일을 누설(漏泄) 함
영화, 드라마, 뮤직비디오 등 다양한 매스미디어의 작품들을 낱낱이 누설(漏泄) 하는 '신기누설'입니다.


🏆 2021.05.13 구독자 80,000
🏆 2021.06.09 구독자 90,000
🏆 2021.08.16 구독자 100,000


✔ 생방송: https://www.twitch.tv/gi_nu
✔ 게임 채널: https://www.youtube.com/channel/UCNf22bAIEc4t0ElkYc7EShA/featured
✔ 인스타그램: https://www.instagram.com/sin_ginu
",209000,311,87376112
영화 리뷰,딥그린,UCB_-HyztMPk2p4AeYf8D36A,"담에 다시 태어난다는 보장도 없는거 태어난김에 오만거 다해보고, 시청하고, 느끼는거 이야기 하고 
맘대로 다 올릴거임
",25400,20,1222747
영화 리뷰,나홀로팝콘,UCLtwNfpVdcrLxuNbkQIDEuw,"엄선된 작품들로만, 시간순삭되는 꿀잼 리뷰들 약속드립니다. 
여러분은 팝콘만 준비해주세요. 😉

*저작권 협의 및 화이트리스팅을 받은 작품들만 올립니다. 배급사들의 리뷰 요청은 언제나 환영입니다 ^^

비즈니스 문의: naholropop@gmail.com
",366000,29,66530306
영화 리뷰,어퍼컷Tube,UCuK80YHBZyyKrr2B1oHrgrw,어퍼컷처럼 날카로운 미드와 영화 이야기 ,1410000,684,340495248
영화 리뷰,라떼한편 - latte's movie,UC0RBaMJf4qeMl7ZkVUlNSbA,"스릴러 장르를 좋아하고,
원작이 있는 서사 깊은 이야기에 끌립니다.
지나치게 폭력적이거나 잔인한 영화는 다루지 않습니다.
",168000,166,60812883
영화 리뷰,방구석 평론가 - 영화리뷰,UCg0i09XL5nBPbk3l0ItTyLQ,"영화, 드라마, 게임을 리뷰합니다",2460,331,1933631
영화 리뷰,고몽,UCpcft4FJXgUjnxWoQYsl7Ug,"비즈니스 메일
gomong@studioggg.co.kr 

개인 문의 등 비즈니스 외 고몽 팀메일
gomongtube@gmail.com
스토리가 있는 모든 것을 이야기 하는 스토리텔러 고몽입니다. 문화콘텐츠해설하는 영화 드라마 예능 도서 웹툰 애니 사실 다하는 리뷰 유튜버입니다.
​",2510000,1111,1658050783
영화 리뷰,바나나리뷰,UC9p83ThEzcSJev66kI9Bf8g,"💛다양한 영화를 소개해드려요💛

#영화 #영화리뷰 #결말포함 
",69800,126,21775033
영화 리뷰,기무리뷰,UCSaWpMhJ-wm1ekEbEvZ6AhQ,"구독 좋아요 알림설정 해놓으세요 :-)
",553000,199,116666885
영화 리뷰,구불,UCb_GEWOGkCTXawWZKDtALwg,"영화 리뷰 채널, 드라마 리뷰 채널
영화, 드라마 보다 재밌는 병맛리뷰 구불
귀여운 구불 강아지가 각종 콘텐츠들을 소개하는 채널입니다.

#영화 유튜버 #드라마 유튜버 #강아지 #구불

",989000,390,314004850
영화 리뷰,디토이야기,UCnabt_BunUVVk1PcSd8CO9Q,"안녕하세요^^
영화 리뷰 채널 디토이야기 입니다.",366000,346,152309516
영화 리뷰,야한 아리의 영화리뷰,UCJPGupyg8Ekh_1sMVpvCP6Q,,8310,16,5533904
영화 리뷰,큰해초 영화리뷰,UCY162GkFPaDEU-3E5A4GnSw,"리뷰하는 큰해초, 예쁘게 봐주세용👄
🩸유혈 🤪병맛 👻귀신 ⭐신비
🤡광대 👽외계 🚨스릴 🌺고전

keunhaecho@gmail.com

2023.03.16. 구독자 10,000 감사합니다
2022.02.26. 구독자 1,000 감사합니다
2022.01.09. 구독자 100 감사합니다
2021.11.22. 첫 업로드
",22000,70,8246800
영화 리뷰,영화리뷰 소녀,UC_lxPb3ueyvHJO4QKaV3jGA,"안녕하세요!
영화 리뷰 채널 영리소 입니다^^
",30800,106,51965515
영화 리뷰,엠터,UCaAEBRoeT5zAwkrSNZDT_oA,"단편영화 리뷰하는 사람입니다

gamtice0802@gmail.com",231000,419,195964626
넷플릭스 추천,재밌는TV,UCTXeifaBp8AQ5JV2vBbxbyg,"AICOMPANY@YFAYBT
",11100,124,397712
넷플릭스 추천,지무비 : G Movie,UCaHGOzOyeYzLQeKsVkfLEGA,"영화&드라마&예능&패션&게임&전자제품&광고를 더 G리게.. 모든 걸 영화처럼..

세상 모든 콘텐츠를 큐레이션하다
지무비 : G Movie 

매주 토요일 오후 10시 업로드

▶비즈니스 
awayout2@naver.com
▶지무비 굿즈샵
https://smartstore.naver.com/gmovie
▶지무비 개인 인스타그램
https://www.instagram.com/awayout1/
▶지무비 공식 인스타그램 
https://www.instagram.com/G_movie__/
▶지무비 페이스북
https://www.facebook.com/pg/Gmoviee

",3800000,940,2003717030
넷플릭스 추천,SHARE 쉐어,UC_lWb_Y11TrCK8tphVu6xLA,"OTT 공유 플랫폼 SHARE 입니다.

넷플릭스, 왓챠, 웨이브, 디즈니플러스, 티빙 저렴하게 보러가기!!
▶ https://www.ottshare.net
",496,99,418741
넷플릭스 추천,DNA영화,UCNPJrIvR4TwHrD2ACtBHh6Q,"안녕하세요.
DNA영화 채널입니다.
디즈니 플러스, 넷플릭스, 아마존 프라임의 대표 작품들을 추천하는 채널을 만들어보겠습니다
",57900,34,18456375
넷플릭스 추천,넷플릭스 수위높은 19금 영화 추천 엑기스 ,UCRNpo0j3XwcJMsmrYC5A8kw,,6,1,11481
넷플릭스 추천,애니넷플릭스 추천 39금 29금 영화,UC8rU9kiqtemq8Cr09WsCTww,,1,1,4654
넷플릭스 추천,엔플릭스,UCRPsAJTT8HqeUygUA_B4vRg,"2024년 내에 구독자 떡상 할려고 합니다.
늦기전에 속는샘치고 미리미리 구독하세요.

서비스 : OTT 서비스 랭킹 정보, 작품 큐레이션, 역대 순위, 신작 소개
콘텐츠 : NETFLIX / DISNEY+ / WAVVE / TVING / COUPANG PLAY

많은 관심 부탁드립니다. 감사합니다.
----------------------------------------------------------------
Hello, we're N.FLIX.

Among OTT services, NETFLIX, DISNEY+, WAVVE, TVING, COUPANG PLAY, etc

We release the recommended popularity rankings every day.
Please show a lot of interest. Thank you.


SINCE 2024.03.28

AICOMPANY@HW09MV",27,10,98391
넷플릭스 추천,김도비,UCRxnjvoNK-oNuBTja9zAhMw,🐷 👨‍🦳📢✪,19,7,63985
넷플릭스 추천,3분 넷플추천리뷰,UCPEX6d4YYUo0Rdwq3qAGy_A,볼까말까 초간단 노스포 줄거리와 감상평,144,34,70034
넷플릭스 추천,어제 그장면,UCSaWY9_OybwMisVorQ3W0rw,#드라마#드라마추천 #kbs #mbc #sbs #넷플릭스 #넷플릭스드라마 #드라마예고,6,4,644
넷플릭스 추천,영화씨,UCRofx7Eh-qydQKeCw4vMmMw,안녕하세요 영화씨입니다,4840,6,332048
넷플릭스 추천,바바라무비,UCwSisxLgK13H837qy2ffWlQ,"영화 채널 바바라무비 입니다^^
영화는 물론 한국드라마 미드 여러 장르 소개 예정이니 많은 사랑 부탁드려요❤❤

",1880,21,495116
넷플릭스 추천,넷플릭스추천TV,UCxnyt_RVPaMMbW47VmVKUxQ,"넷플릭스 추천! 평생을 다 봐도 못본다는 넷플릭스의 모든 영화와 드라마!
제가 대신 보고 압축시켜 드리겠습니다.
여러분의 시간은 소중하니까요.
추천과 구독 꼭 부탁드릴게요!",0,1,10
넷플릭스 추천,무비다냥,UCUYnqIDQ5OoG3LePBDOV-VA,"무비다냥은 영화 소개, 추천 채널 입니다냥
(feat.귀여운 고양이 영상이 킬링포인트)
무비다냥과 함께 즐거운 시간 보내시라냥 :)

",2810,24,629206
넷플릭스 추천,드라마플러스,UC4UP5IhxernkmerQhzCT-Fw,,3460,3,987
넷플릭스 추천,넷플릭스 중국 드라마 추천,UCX58s64kARLWzuPusm16EZw,,196,9,30696
넷플릭스 추천,윤둘기,UChKGETbMPun-xSQ-IViMaCw,"영화, 드라마 궁금한 그 주변의 이야기까지 함께.

다양한 문화 컨텐츠 이야기가 있는 윤둘기의 Youtube 채널입니다!!

",15,15,6353
넷플릭스 추천,넷플릭스 39금 영화 애니 드라마 미드추천,UCSvsdl1xtlTpK_p_Ms9bBow,,1,1,1196
넷플릭스 추천,ch넷보남,UC3aDvOJiiTiIM39ptREplZg,안녕하세요 넷플릭스 오리지날 컨텐츠 전문 리뷰어 넷보남입니다!,788,39,533243
넷플릭스 추천,넷플릭스 미드 추천 다시보기ᄋ,UC5Wu-fq78BkOSXB0fz3-Hrw,,31,4,3528
넷플릭스 추천,조은영화,UCxoBaFxz8LyWPkT_9HC5urA,"영화 리뷰, 드라마 리뷰 채널입니다.
넷플릭스, OTT, 최신작, 올드무비, 여러 장르 영화를 추천해드리고 있습니다.
",4930,15,2556858
넷플릭스 추천,lama,UCOC5fFf71jNRgzPuk6mzqDA,,147,40,556611
넷플릭스 추천,영화대장,UClOAtcG8wUjd3woSswVWhbA,"SF/스릴러/공포 영화에 목마른 당신에게 드리는 최고의 영화리뷰 채널

재밌게 보셨다면 좋아요 와 구독 부탁 드립니다!
기타 문의 : b75.jeon@gmail.com
#영화리뷰 #영화추천 #영화결말포함 #넷플릭스영화추천 
",56800,0,0
넷플릭스 추천,Netflix Korea 넷플릭스 코리아,UCiEEF51uRAeZeCo8CJFhGWw,"넷피디가 하드 탈탈 털어 공개하는 넷플릭스의 모든 것🌟
#구독은사랑 #좋아요는감동 #알림설정은진심

",2290000,4814,1276892574
넷플릭스 추천,디바걸스,UCghP93LBNk1EGBr5gFJg20Q,"유튜버 ‘디바제시카’와 ‘디바제니’ 
친자매가 먹고 노는 현실예능!
* 비지니스 문의: jbsnetwork7@gmail.com

2018.7 💖10만 구독자 달성했어요!! 가즈아~
2020.1 세상에 1억 조회수 달성했쪔♥️",348000,360,256727162
넷플릭스 추천,려원 RYEOWON THEATER,UC1f4M0AmvFAA6i-Py-vE9sw,"
",342,7,228214
넷플릭스 추천,디바제시카 인기영상,UCltpgp1nrO_B-BDe9io2Sfw,"디바제시카의 토요미스테리, 금요사건파일, 모음영상 등
수천가지의 영상중에 무엇을 보아야 할지 선택하기 어려운 구독자님을 위한 
영상 추천 채널 ""디바제시카 인기영상"" 입니다!

구독하여 알람을 켜두시면 하루에 2번 추천 영상을 시청해 보실 수 있습니다!
신규 영상은 본 채널인 ""디바제시카"" 채널을 검색해 주세요! 
감사합니다.

",113000,1045,32151560
넷플릭스 추천,마이드라마,UCvg2RBaJ5hPlHev-kJy-f3Q,,99,12,3895
넷플릭스 추천,중드 추천 넷플릭스 2020,UC8t06FzBOim6BqIevyJi-zw,,359,5,57545
넷플릭스 추천,넷플릭스최저가,UC5S4xo2aUQsPK3Sv1RkcJtA,,1,9,879
넷플릭스 추천,땅콩리뷰-영화 추천 리뷰어,UCMkgFfi7Sgz7x3tH5t6Xazg,영화 추천 리뷰어,3100,17,1144793
넷플릭스 추천,애플넷플릭스게임 [칠칠튜브],UCkaL8iKSumr94Fnx6LlnJeQ,"애플아케이드 게임 채널입니다...  가끔 넷플릭스 게임도 즐겨요. 일반 앱도 즐길겁니다. @applenetflix 많이 방문해 주세요. 애플넷플릭스 (Applenetflix) 홈페이지에 놀러오세요. 게임정보 및, 랭킹, 사라진 게임, 검색, 추천 등 게임의 모든 것을 알 수 있습니다. 

",2480,2745,2247387
넷플릭스 추천,TwoMong_Culture,UCmq8PMVUMBHGe820qK7HN4w,,0,4,2
넷플릭스 추천,MOBEE : 모비무비,UCwcLqP3jKb6tJS5sJYWYIxg,"방문해 주셔서 감사합니다
디즈니, 넷플릭스 등 각종 영화나 드라마를 소개하고 리뷰하는 채널입니다

각종 문의 및 요청 사항은 이메일 부탁 드립니다
jimin.e6004@gmail.com
",189000,185,108294272
영화 해석,영화 재해석,UC3R98REIB3NC2rxGaFCylNg,,0,2,31
영화 해석,무능도원,UC8hpRL09vqCSyyB4KjWuMPw,씹고 뜯고 맛보고 즐기는 영화 이야기.,778,15,339909
영화 해석,철학으로 해석하는 영화Filosophy,UCTj-oZPrp8BTtbPondE5lZw,"영화를 통해 철학을 쉽게 이해하고
철학을 통해 영화를 다양한 각도로 분석하는 채널",1320,8,224386
영화 해석,밤울람TV,UCUrS6xAK4hoOrdd1TEeIfpQ,"저만의 해석으로 영화를 리뷰해드립니다. 
당신의 밤을 울리는 알람. 밤울람",652,18,262190
영화 해석,함께 읽는 영화,UCTvKly8P5eMpkOPVuF63lwA,"좋아하는 것들을 기록하는 덕후의 채널 🔥 
영화 연출, 배우 이야기는 유튜브에
긴 영화 리뷰와 해석글은 블로그에 https://blog.naver.com/hkyung769
그 외의 기록은 인스타그램에 @movie_read_together
",345,23,175530
영화 해석,당신이 모르는 감독의 마음,UC7_5qVgv_T3SZG17d4fMAPA,"당신이 모르는 감독의 마음은 더욱 흥미로운 영화 감상과 교양있는 영화 수다를 위한 영화 분석 채널입니다. 연출과 촬영, 편집 기법 등 영화속에 숨겨진 수많은 장치들의 의미를 설명해 드립니다. 영화를 공부하는 학생이나 영화촬영에 관심있는 분들께도 유익한 채널입니다.

이 시리즈는 개인적으로 시각적인 연출과 편집에 관심을 두게 되면서 기획하게 되었습니다. 시간적인 여유가 충분치 않아서 자주 올리지는 못하지만 적어도 한 달에 한 편씩은 올려보려고 합니다. 북미권에서 영화제작 관련된 일을 하고 있습니다. 🎬

메일: showmethedirectorsmind@gmail.com

🎨 Channel profile picture by Joon Kim
www.joon-kim.com",23100,48,798095
영화 해석, 중딩평론가 ,UC_W113l2ujPc1Q2IsTOP7Xg,"(아방가르드 픽처스)
아방가르드 한 영화를 만드는 청소년 제작사
작가주의와 실험주의가 가득 찬 청소년들의 영화를 제공합니다

(중딩평론가)
영화 2000편을 본 영화인 중학생이 선보이는 고품격 해석과 평론
중학생의 입장에서 바라본 영화인의 해석!

",80,19,9105
영화 해석,인생영화: Legend Movie,UCD3TQB9--RP2sYeDjcrLYGw,"심심할때 이불 속, 화장실, 지하철에서 보면 시간이 순삭되는 미친 영화채널!!
",293000,63,119662571
영화 해석,필름토크,UCu3PrXED0S9tPP0IalXdGGQ,"🎬 필름토크 (Film Talk) – 영화를 사랑하는 사람들을 위한 채널!
이곳에서 최신 개봉작부터 숨겨진 명작까지 다양한 영화 리뷰를 만나보세요. 감동적인 스토리, 놀라운 연출, 배우들의 명연기까지 깊이 있게 분석하여 솔직한 감상을 전해드립니다.

💡 필름 토크의 내용: 
✔️ 신작 영화 리뷰 🎥
✔️ 명작 추천 🎞️
✔️ 영화 해석 & 결말 분석 🔎
✔️ 감독과 배우 이야기 🎭

좋아요와 구독은 더 좋은 콘텐츠 제작에 큰 힘이 됩니다! 📢
🎥 필름토크에서 함께 이야기해요! 🎬
",21,12,6512
영화 해석,서삐삐의 영화리뷰,UCqN3KpFmGuG5hPrUwpFaX9A,"안녕하세요. 
'서삐삐의 대충하는 영화리뷰'에 오신 여러분, 환영합니다! 😆

저 서삐삐는 여러분들께 
매주 어떤 영화가 괜찮은지 여러분의 영화 가이드가 되어드리고, 
개봉한 영화를 리뷰하면서 여러분과 감상을 나누고 소통하고 싶습니다!
그리고 영화를 해석해보고 설명하면서 함께 영화를 즐겨봐요.

그럼 매주 만나요~",7990,34,1687282
영화 해석,해석왕 고태일 MovieMonster,UCf9maYt48dFrIZtWp1N7BGw,"🍈 영화 2616편 +α / 드라마 애니 예능 497작 +α

💀선        장 : 👱🏽‍♂️고태일
🏴‍☠️마스코트 : 🦝바람🦊땅
🧭항  해  사 : 👩🏻시츄
🎡조  타  수 : 📞모집중
💣전  투  원 : 모모, 멘탈비눗방울, Shinheeyong, 태승아하, 유병걸, 꿈밍, 만두조아, 중지
🧱목        수 : 정일지, 김다한, 최봉준, 아맥, Pringles Onion, 그림쟁이dks, 김영재

(25.01.06 기준)

해석왕 고태일 채널 
2011년 11월 22일 팟캐스트 '스무고백' 첫 방송
2012년 09월 00일 액텀 엔터테인먼트 설립
2014년 10월 11일 유튜브 '무비적부비적(식전영화)' 첫 방송
2017년 02월 00일 액텀 엔터테인먼트 폐업
2017년 03월 04일 ADBC TV 설립
",56400,1670,25779149
영화 해석,영화보는건데,UCs9bgiMvJkS2CodV9OfeYcQ,"살아있을 때 봐야하는 명작영화 리뷰전문채널
인문학이 함께하는, 깊이있는 영화리뷰

🔗메일 문의: moviegeonde@gmail.com


",35700,107,13775877
영화 해석,개인적인 영화 리뷰 - 최해석,UC054cqzElxIO6sJhRKeuIfg,,3,3,3293
영화 해석,띵만리 (띵작찾아삼만리),UCmMLj51qYO8d97kt_w1Krkw,"띵작 찾아 삼만리를 찾아 주셔서 정말 감사합니다.

이곳은, 때론 영화 속 장면과 서사를 통해 우리의 감정을 일깨우고, 때론 휴식이 되고, 때론 교감이 되고, 때론 웃음을 주고, 때론 동기부여를 전하는 곳입니다.

삶의 메시지를 따뜻하게 전달하는 영화 리뷰 채널을 만들어 갈게요



  #띵만리  #감성영화리뷰  #철학적인영화 #영화리뷰 #영화해석 #결말포함 #넷플릭스  #영화리뷰결말포함 
",1260,18,441733
영화 해석,진용진,UCIG4gr_wIy5CIlcFciUbIQw,"진용진 유튜브입니다

멤버십 결제 관련 문의는 유튜브 고객센터로 문의해주세요.

배우 지원: jinyongjin.yt@gmail.com
광고 및 비즈니스 제안: khs@3ycorp.kr
인스타그램 : https://www.instagram.com/jinyongjin92/
",2780000,673,1211017518
영화 해석,끝,UC37tNhF1_Ko-SS2AUG_I5jA,.,34500,15,5796113
영화 해석,리우군의 다락방,UCJU6Tal7hGSu7MdAmKVuj-Q,"“영화를 접하지 못하신 분들은 영화로 유입 될 수 있게, 영화를 본 분들에겐 또 다른 즐거움을 제공할 수 있게!”라는 슬로건 아래/ 리뷰는 1부(스토리 텔링)와 2부(해설파트)로 이루어져 있고,

썸네일과 영상내 좌측 상단의 로고 컬러는 영화의 등급을 나타내고 있습니다.
녹색 (전체 관람가),  파랑 (12세 관람가),  
주황 (15세 관람가),  빨강 (청소년 관람불가)

좋아요(추천) 버튼을 눌러주시면 더 많은 분들이 감상하실 수 있고, 구독을 하신 뒤 종버튼을 한번 더 눌러주시면 알람기능으로 인해 더 편하게 보실 수 있습니다.

ASMR영상에 관심 있으신 분들은 리우군의 asmr채널을 구독해주세요. https://www.youtube.com/channel/UCjFtuWLNqDM8poZNomBgpvQ

 riu@daum.net 

since 20170123",186000,111,27785519
영화 해석,덕선씨의 영화채널,UCTdLx-uFhDsz9let_GW4b5Q,"영화소개, 영화추천, 영화리뷰, 영화해석
영화를 좋아하는 학생들의 솔직한 후기가 궁금하시다면
지금 구독과 알람살정을 눌러보세요!

덕후가. 선정한. 씨네마.
'덕선씨의 영화채널'",277,57,84423
영화 해석,영화보는 강신부 Father Frederick,UCyXVljMI-UmYxZUKhZTN7eA,"‘영화보는 강신부’ 채널에 오신 걸 환영합니다! 저는 제 가톨릭 신앙과 영화보는 것을 둘 다 사랑하는 프레드릭 신부라고 해요! 

가톨릭 신앙과 영화 보는 것은 제게 어릴 적부터 소중한 것들이었고, 이 채널에서 저는 가톨릭 신앙을 포함한 다양한 맥락 안에서 여러분들과 함께 영화 속에 숨겨진 의미들을 파헤쳐볼 거에요. 

저는 영화 제작과 영화 촬영술에 대해 많은 관심이 있고, 또 영화 안에 담겨 있는 상징적인 요소들을 해석하는 것도 좋아해요. 제가 좋아하는 영화감독들과 그분들의 개인적인 스타일에 관해서 얘기하는 것도 좋아하고요. 

어쩌면, 여러분들이 한 번도 생각해보시지 못한 것들을 제 비디오 안에서 찾으실 수도 있지 않을까요? 한번 들어오셔서 구독과 좋아요를 눌러주시고! 댓글을 통해서 여러분들을 찾아뵈도록 할게요!
",3880,10,65589
영화 해석,영화의정원,UC5UcQZqUvIp8FA13YV1cDbQ,"인생에서 흥미로운 영화를 소개해드립니다 

영화의정원의 영상은 70프로는 소개 
30프로는 저의 개인적인 견해 혹은 해석을 담아 
흥미로운 영화를 소개해 드립니다 

해박한 지식은 부족하지만 
다양한 관점으로 재미있게 시청해 주세요

감사합니다( ღ'ᴗ'ღ )

💌 비지니스 문의 : flowershape04@gmail.com",22800,54,3876963
영화 해석,영화의숲,UCCu5X9UEr7ZPsLUT_IopGcg,"영화 및 애니메이션 소개와 리뷰를 진행합니다.
영상은 매주 업데이트 됩니다.",6180,125,6297916
영화 해석,아웃클라쓰 스튜디오,UCLlHx2GuxkUUMr0MebLBZtQ,"영화를 보는 새로운 시각! 아웃클라쓰입니다.

저희는 영화에 대한 다양한 해석을 통해 영화 속에 숨겨져있는 진실을 발견해나가고 있습니다.

그리고 영화 속에 숨겨진 진실이 드러내는 '우리 세상의 진실'을 이야기하고자 합니다.

천천히, 그리고 꾸준히 '좋은 영상'으로 찾아뵙겠습니다:D

문의 :  outclassstudio@gmail.com

",1960,38,424794
영화 해석,영화 해석,UC0dFtSdkK7tR3Ibm_Dz10oQ,"같은 영화, 다른 해석
구독과 성원에 감사드립니다!
",2,11,2084
영화 해석,할건 없는데 영화 분석 리뷰나 해볼까.,UCXu_9SGM0Hw7laupq9snaxg,,532,17,28772
영화 해석,해석왕 고태일 라이브 풀영상,UCrchqePatuSoNh64E3nEP5A,"영화 토크 라이브 채널
",382,209,137548
영화 해석,영화읽는여자,UCoMKD1IaNv7uVus222lg01g,"마블부터 명작 영화까지,  
스토리를 더 깊이 있게 해석하는 해설 중심 영화 채널입니다.

영화 속 떡밥, 캐릭터 이론, 세계관 정리부터  
쿠키 영상 해석, 감동의 순간까지 모두 담았습니다.

MCU, DC, 넷플릭스, 한국영화 등  
장르 불문, 흥미롭고 몰입감 있는 콘텐츠로 매주 업데이트!

📩 광고·제휴·문의: pcdock3321@gmail.com

",11500,212,7787572
