카테고리,채널명,채널ID,설명,구독자 수,영상 수,총 조회수
영화 리뷰,빨간 비디오,UCKiMfAaiDwX5FXLxVRgEP0A,"다양한 영화를 소개해드려요

비즈니스 문의
aqornjsgks1@gmail.com

#영화 #영화리뷰 #결말포함 
",2670,20,863899
영화 리뷰,찐뷰 영화리뷰,UCQAtlNjpgBRx2pqDyG9H-eg,"안녕하세요 
좋은영화, 찐영화를 리뷰하는 찐뷰입니다


평점이 높고 기본적인 재미가 보장된 영화를 찾는다면 찐뷰를 찾아주세요~!",154000,91,39212273
영화 리뷰,신기누설: 영화를 그리다,UCgMawr4F7HQML8kqROLeobQ,"💡영상 업로드 시간은 오후 7시 30분입니다.💡

신기누설(神機漏泄): 비밀(秘密)에 속(屬) 하는 일을 누설(漏泄) 함
영화, 드라마, 뮤직비디오 등 다양한 매스미디어의 작품들을 낱낱이 누설(漏泄) 하는 '신기누설'입니다.


🏆 2021.05.13 구독자 80,000
🏆 2021.06.09 구독자 90,000
🏆 2021.08.16 구독자 100,000


✔ 생방송: https://www.twitch.tv/gi_nu
✔ 게임 채널: https://www.youtube.com/channel/UCNf22bAIEc4t0ElkYc7EShA/featured
✔ 인스타그램: https://www.instagram.com/sin_ginu
",209000,311,87320612
영화 리뷰,나홀로팝콘,UCLtwNfpVdcrLxuNbkQIDEuw,"엄선된 작품들로만, 시간순삭되는 꿀잼 리뷰들 약속드립니다. 
여러분은 팝콘만 준비해주세요. 😉

*저작권 협의 및 화이트리스팅을 받은 작품들만 올립니다. 배급사들의 리뷰 요청은 언제나 환영입니다 ^^

비즈니스 문의: naholropop@gmail.com
",365000,29,66471737
영화 리뷰,기무리뷰,UCSaWpMhJ-wm1ekEbEvZ6AhQ,"구독 좋아요 알림설정 해놓으세요 :-)
",552000,199,116588317
영화 리뷰,망고 무비,UCnWR9GjfjW_fiD9iaIQgdrw,"혼자만 보기 아까운 영화와 드라마를 소개해드립니다 :)
",34200,206,18781963
영화 리뷰,고몽,UCpcft4FJXgUjnxWoQYsl7Ug,"비즈니스 메일
gomong@studioggg.co.kr 

개인 문의 등 비즈니스 외 고몽 팀메일
gomongtube@gmail.com
스토리가 있는 모든 것을 이야기 하는 스토리텔러 고몽입니다. 문화콘텐츠해설하는 영화 드라마 예능 도서 웹툰 애니 사실 다하는 리뷰 유튜버입니다.
​",2500000,1110,1657685805
영화 리뷰,디토이야기,UCnabt_BunUVVk1PcSd8CO9Q,"안녕하세요^^
영화 리뷰 채널 디토이야기 입니다.",366000,346,152233637
영화 리뷰,영화쉼,UCMa0hezdcODS0qU1x3Tc3ww,"영화리뷰 채널, 영화쉼입니다.
",176000,40,39375509
영화 리뷰,어쩌다영화한편,UCaS8JH5U5nMaOfrSVYnbOTQ,"영화 리뷰 채널입니다.
",145000,115,43293339
영화 리뷰,바나나리뷰,UC9p83ThEzcSJev66kI9Bf8g,"💛다양한 영화를 소개해드려요💛

#영화 #영화리뷰 #결말포함 
",69800,126,21772268
영화 리뷰,어퍼컷Tube,UCuK80YHBZyyKrr2B1oHrgrw,어퍼컷처럼 날카로운 미드와 영화 이야기 ,1410000,682,340332439
영화 리뷰,기묘한 무비,UCGso5ZptdjRCXBMiFqDlZRA,"기묘한 무비입니다.

미스터리, 스릴러, SF, 공포 등의 장르 영화를 리뷰합니다.

제보/문의 : kimyohan.movie@gmail.com
",142000,95,43325720
영화 리뷰,영화리뷰 소녀,UC_lxPb3ueyvHJO4QKaV3jGA,"안녕하세요!
영화 리뷰 채널 영리소 입니다^^
",30800,106,51959990
영화 리뷰,영화리뷰하는사람,UCu4SDxJgLoSnNwdWG4SDj7A,"안녕하세요! '영화리뷰하는사람'입니다.

영화의 매력에 빠진 지 오래된 저는, 그동안의 영화 감상 경험을 여러분과 나누고 싶어서 이 채널을 시작했습니다. 최신 블록버스터부터 숨겨진 인디 명작까지, 다양한 영화들을 리뷰하며 솔직하고 깊이 있는 분석을 전하도록 하겠습니다.

저는 영화가 주는 다양한 감정과 메시지를 좋아합니다. 그래서 시청자분들이 좋은 영화를 발견하는 데 도움을 주고 싶습니다. 매주 새로운 영화 리뷰와 재미있는 얘를 통해, 다음 영화 선택에 유용한 정보를 드리려 합니다. 영화의 신선한 트렌드와 클래식의 매력을 함께 즐기고 싶다면, 채널을 구독하고 댓글로 여러분의 생각도 나눠주세요!

영화리뷰하는사람과 함께 영화의 세계를 더 재미있게 탐험해 봐요!
",14100,5,5107045
애니 유튜버,애니리뷰 유튜버로 시작하는 이세계 전생기2,UCg_F2OP7-rV4q3GRtXziLRg,,1450,1,164
애니 유튜버,덕양소,UCYH0isveXrujjCH4Z2F4p4g,"덕후들의 수장의 찰진 애니 리뷰!
가벼운 애니 리뷰로 꿀잼 애니메이션들을 소개시켜드립니다!
(팬아트 보내주시면 채널 이미지 혹은 영상 마지막에 자랑합니다 ㅎ)

- 비즈니스 이메일 : yyyjhong7@naver.com 
- 소속사 이메일: biz@onsidecompany.co.kr
- 크리에이터 관련 문의: manager@onsidecompany.co.kr
- 팬 선물: 서울 강서구 마곡중앙로 105-7 K-스퀘어 타워1, 305호 온사이드 컴퍼니, 덕양소 (우: 07800, 주소에 크리에이터 명 포함)
* 우편 도착 확인 여부는 모두 안내드리기 어려운 점 양해 부탁드리며, 확인을 희망하시는 경우 http://pf.kakao.com/_SxlyCn 로 문의 부탁드립니다.
",529000,930,377319010
애니 유튜버,리뷰맛집,UCttHn8q2izil0kKP1ogb13Q,"애니리뷰 유튜버 리뷰맛집입니다

reviewrestorang@gmail.com
",240000,81,65102761
애니 유튜버,애니홀로,UC25c2u4HI44jvMcxf1FvTLg,"홀로라이브 등  여러 버츄얼 유튜버분들의 팬 애니메이션을 만들고 있습니다. Am Holo(영어 채널) 같이 운영하고 있습니다. Am Holo is my channel, too. 
업로드 소식, 원본 이미지 등을 올리는 트위터 계정입니다. https://twitter.com/Amholo1

애니메이터: 김철수철수(이전), Lassi(현재)
",52600,30,9958805
애니 유튜버,애니유튜버 눈꽃송이,UCL0jIKIJ3MmP0EK3-XThLjg,프로필이 누꽃송이 입니다,7,32,1082
애니 유튜버,애니한TV AnnieHanTV,UC1-jInqcAOkAHvp2CO8h1zg,"애니한TV에 오신 것을 환영합니다! 저희는 키덜트(어른과 아이)를 위한 신기한 장난감, 맛있는 간식, 흥미로운 체험, 도전적인 게임 등 다양한 주제의 영상을 제작하고 있습니다. 

저희 채널의 목표는 모든 연령대가 함께 즐길 수 있는 콘텐츠를 제공하는 것입니다. 어린 시청자들은 장난감과 간식으로 마음속 행복을 채우고, 어른 시청자들은 다양한 체험과 도전 영상으로 일상에서 벗어나 잠시나마 힐링의 시간을 가질 수 있습니다.

저희 채널은 부모와 자녀가 함께 보며 대화를 나눌 수 있는 좋은 기회도 제공합니다. 아이들에게 교육적 가치가 있으며 어른들에게는 소중한 추억 만드는 시간을 선사합니다.

여러분의 웃음소리와 행복한 순간들이 저희에게 큰 기쁨과 보람으로 다가오니 많은 관심과 사랑 부탁드립니다! 지금 바로 구독 버튼을 눌러서 이 모든 순간들을 함께 나누세요!

8992
",1090000,2348,1033312665
애니 유튜버,장삐쭈,UChbE5OZQ6dRHECsX0tEPEZQ,"비즈니스 문의: jangbbijju@metacomedy.net
스튜디오장삐쭈 지원하기: recruit@studiojbbj.com
",3490000,565,2108146228
애니 유튜버,땅콩 Peanut,UCT2sZ95FeYWxl7FBf9mreAg,"땅콩 채널에 오신 것을 환영합니다.
행복한 애니메이션을 만들어가도록 노력 하겠습니다.

해당 영상의 저작권은 땅콩Peanut 에 귀속되어 있으며 영상을 모방하거나 영리 목적 사용 시 제재를 받을 수 있습니다.

",2960000,106,1478437852
애니 유튜버,썰퀴,UCKa1ISMKxUlDLl7xIgqCB5Q,"🛸신세계 썰퀴 영상툰🛸

제휴 : sseol.kwi@gmail.com 
듣도보도 못한 썰퀴 영상툰
가보자구🌠
",25800,40,1791566
애니 유튜버,아싸리 - 애니메이션 유튜버,UCabu2mARxb6W4bbcy8yKWDg,아싸리의 애니메이션 제작소~!,243000,36,82892345
애니 유튜버,푸먹_foomuk,UCOszRhGW_mW8yPYKhLuULMw,"애니메이션 먹방 채널😋🥄
Welcome to Mukbang animation channel 💛

📧e-mail :  foomuk@sandboxnetwork.net
",1560000,90,839636093
애니 유튜버,네이버웹툰,UCK4WxhNsloFrA8iUaO92r5g,글로벌 No.1 네이버웹툰의 공식 채널입니다. ,580000,1148,498495197
애니 유튜버,포도당 애니툰,UCbLlTRF9wfKbH8t0zz31pvQ,"다양한 장르의 애니메이션을 보실수 있습니당!
Animation Subtitles : 한국어 | 日本語 | English

Contact / 제작 문의 : grapestudio5@naver.com
[개인 애니메이션 제작도 받고 있으니 편히 연락주세요~]
",240000,327,54260236
애니 유튜버,애니의 뎅켄,UCaONCrzOYbTlSTqtuTttsgA,코드 기어스는 세계 최고의 애니입니다.,2370,27,631430
애니 유튜버,캐릭:애니 유튜버,UCBkt_GLsg4wJMCoUVUkCyPA,즐거운 시청 되세요.,286,5,135986
애니 유튜버,수상한 암세포 _ Amsepo,UC6xgyW1hxO6kHc40iic6viw,"2D,3D 애니메이션 1인 제작자입니다",1170000,34,313194786
애니 유튜버,Alan Becker,UCbKWv2x9t6u8yZoB3KcPtnw,"Business Inquiries:Alan.Becker@InTheBlackMedia.com

My name is Alan Becker! Maybe you saw my ""Animator vs. Animation"" when it became a viral video in 2006. I make stick figure animations that take place on a computer desktop screen. There is no dialogue, but a lot of humor and emotion. Hope you enjoy!

Check out my other channels too! I teach how to animate, I run a Minecraft server, and I play games!

Interesting in working for me as an animator? Apply below!
",30900000,240,8327118927
애니 유튜버,카쟈유튜브,UCjFxeOjgQIKwtHSJyNFcRZA,"조금 수위 높은 애니 나 먼치킨 애니 최신 애니들을 리뷰하는 채널입니다!
애니추천 해주시면 잘 수용해서 잘 해보겠습니다.     
야한 애니도 조금 잘 다루니 천천히 즐겨주세요ㅋㅋㅋㅋㅋ


#애니리뷰#애니후기#수위높은애니#애니#애니메이션
",37400,51,6140271
애니 유튜버,프리키먼데이,UCdU5-Xpiyx2DruGPBu63FPA,"월요일 오후 5시 55분 업로드
월요일에 만나는 기괴한 만화채널에 오신걸 환영합니다👀

🚫영상 무단복제, 재배포, 2차가공 금지🚫",184000,260,50110288
애니 유튜버,이로이,UCx-PVh-8OVEgSXcscr2tZoQ,"✔️광고 문의 및 협찬  food9494@naver.com
📣생방송: 저녁9시 휴방: 매주 토요일 
이로이 카카오톡 : R10521052
💫🎹✦🎷✫
VR329L@AICOMPANY
",142000,698,194852166
애니 유튜버,팔라푸딩,UCwlixQLZpKejReLsE7pr0Og,"애니와 관련된건 모든지 좋아하는♥ 🐕🐜✭🎸✷
Anime Creator 1人! 

◆광고/기타 문의 : palra8254@naver.com
",170000,620,59603262
애니 유튜버,우왕푸왕,UCuRZ7_jLvXJp-XmsQLBKgXw," MCN 샌드박스 네트워크
 트위치 스트리머와 유튜버와 함께 참가하고 만들어 나가는 캐릭터 유니버스 입니다.
",286000,33,97583183
애니 유튜버,애니추천유튜버,UCDEzZyl_Ks5dwmGM0HFp4PQ,,0,4,0
애니 유튜버,고문 소믈리에 — 이쥬인 시게오,UC-cY6HDDivsMrvzbr51p-yg,"전세계의 악당들을 사냥하는 고문 소믈리에 이쥬인 시게오의 이야기를 중심으로 전개하는 영상툰 채널입니다.
본 채널은 「ヒューマンバグ大学」에서 파생된 정식 한국어판 채널입니다.

원본채널: https://www.youtube.com/@humanbug_univ.
문의사항: hu_kr@lab316.me
",68900,131,19070497
애니 유튜버,깨추,UCQmSqf2G2UHiV0WMw3K5a7Q,협업 및 출연 문의 : kkaechu055@gmail.com,284000,337,105492546
시네마,시네마 단조,UCca4V1Fq-mdfQF6ooSGVGgg,"시네필들을 위한 공간, 시네마 단조",762,19,11336
시네마,시네마 뮤직 : CINEMA MUSIC,UCDu1y1u2ic_DtFPlgqX9ovw,"영화&드라마 OST를 좋아하는 시네마 뮤직
시네마 뮤직 : Cinema Music

●<매주 토요일 오후 11시 업로드>
    •항상 따라 달라질수 있습니다•

■ 비지니스/배급사/협찬문의
kimju5022@gmail.com 
■시네마 뮤직 공식 틱톡
https://www.tiktok.com/@.cinema.music",3900,14,4320283
시네마,시네마홀릭 : CinemaHolic,UCZCrgnROgsgYwk0FvapUe4w,"🎯비즈니스 문의 : haravang@gmail.com

🔗신박하고 재미있는 작품들을 중점으로 리뷰하는 채널 시네마홀릭

 ▶ CinemaHolic [명사] : 영화감상을 (매우) 좋아하는 사람
",209000,59,98688692
시네마,팝콘시네마,UCvxdIoBmlh4vjDq4ap3aN1A,안녕하세요! 세상에 숨겨진 재미있는 영화와 드라마를 소개하고 리뷰합니다,8020,47,4618678
시네마,시네마 시그널 Cinema Cignal,UClFti5WKTik1VJFnD1LlNqw,"""인생은 한편의 드라마와 같다""
재미있는 영화와 드라마를 소개해 드리는
시네마 시그널입니다. 항상 감사드리며
좋은 콘텐츠 제작에 힘 쓰겠습니다!
",8,2,1391
시네마,시네마펀,UC7oT_mYbYw9ns40_LAR-uOQ,"드라마 쇼츠 정주행 몰아보기 다시보기 추천 소개 채널 입니다.
모르고 지나쳤던 혹은 자세히 보지 못한 명장면을 소개해드립니다.

모든 영상들은 수익을 창출하지 않습니다.
원작자의 의견을 100% 수용하며, 영상 관련 문제시 메일 주시면 바로 삭제하도록 하겠습니다.
  
문의: hangil05@nate.com ",14200,77,43402268
시네마,시네마플래닛,UCO0gxGSrdHWpiynzJ98-WNQ,"영화는 보고싶은데 시간이 별로 없으시다면
여기 시네마플래닛으로 오시면
다양한 영화들이 여러분들을 기다리고 있습니다!
",104000,475,32330693
시네마,시네마세로,UCAwAia3cgSeUOQ9zahK1nxQ,"숏 시네마 [첫경험] 시리즈 상영 중 
영화 연애빠진로맨스, 롱디를 제작한 영화 제작자가 만든 숏시네마
",1720,60,463877
시네마,곰돌이 시네마,UCkL0WsxV3Xtrw_MvE8xJGkw,"구독자 10만 찍고! 드라마 영화 소개 채널로 성장이 목표예요!
시청자분들의 구독의 힘을 보여주세요!
이상한 광고 영상은 제작하지 않습니다!
AJCSAL@AICOMPANY
",19400,177,12843804
시네마,에꼴드시네마 École de Cinéma,UCrlZHMqRIpaIq7BDMjIk11Q,"안녕하세요. 영화 전문 채널 에꼴드시네마입니다 
",6410,39,1044615
시네마,시네마 CNEMA,UCl3Hj5LxKWnFyJzO3IPZAvQ,"시네마(CNEMA) official youtube channel

기탁(KiTak) / 김슬옹(Kim Seulong) / 변정호(Byun Jeongho) / 임윤성(Im Yoonseong) 
",5840,26,511536
시네마,시네마식:CinemaSik,UCFfCHpSISrPL_Uas7qfqjjg,"팝콘 먹으러 영화관 가는 남자. 
시네마식입니다.

문의 : cinemasik2@gmail.com
인스타그램: cinemasik_

개관 : 2022.04.18
",7680,45,4383026
시네마,홍시네마,UCtwxuughKbSAV0e4bnz4ORg,편안한 목소리로 공포를 읽어주는 남자 홍시네마 입니다,759000,315,291283576
시네마,시네마톡,UCM5qo9osuWYv_5jycVslxeA,"오늘도 재미있는 영화를 찾기 위해 노력하겠습니다 :)

비즈니스 문의 (각종 영화 등 홍보) : cinematalkk@gmail.com

",100000,150,78367048
시네마,시네마홈,UCLcHyLirbJ3qH6q9TWwJeaw,다양한 영화와 드라마를 리뷰하는 시네마홈입니다.,11800,5,3824752
시네마,무비시네마,UCXekFk2YBQVqChdeRGJKxJw,감동적인 영화를 무비시네마와 함께 하세요~,11000,177,3666728
시네마,방콕시네마,UCZNbLF7pJUDe5bHjSw8dPVw,"영화/드라마 리뷰 채널입니다. 시청해주셔서 감사합니다.
",18800,14,5470239
시네마,"카페, 시네마",UCXe5VD6SW39Gx0fpMsQlU8A,"카페, 시네마 ",18300,32,3249410
시네마,윤시네마,UCLB0ptQvjmsQYu4RNRprfRg,,180,33,75010
시네마,시네마 밴드 채널 / Cinema Band Channel Official,UCkfJi3oGA240X3jVLrIbQdg,"Rock , Heavy Metal Band 시네마 밴드
Instagram:band_cinema
멜론 http://kko.to/YA6KDK04B",147,80,22538
시네마,스타시네마,UCR4d4mjEYmunNV3E8xjemIA,"과거와 현재의 스타크래프트 경기를 리뷰, 분석해드리는 채널입니다 #스타명경기 #스타크래프트명경기 
분에 넘치는 많은 관심과 사랑 감사드립니다.
",49200,824,15891724
시네마,시네마보이,UC9B6rBwfhRl4PjUd7Ww3vfQ,"시네마의 모든 것

비즈니스 문의 : rkdcjf7817@gmail.com
",15800,43,12714578
시네마,띵시네마,UCKXtBsv0-nHwaJJxoWfvmWQ,"문의: ddingcinema@gmail.com

",64900,181,42571730
시네마,시네마공작소,UCfSgMAgi1Y6Pit41DvVLbrg,,872,209,285042
시네마,약대시네마,UC4WKooFxqwPtJNr5X6y2-9w,"안녕하세요. 약대시네마 입니다.
영화, 애니메이션 가리지 않고 울림이 있는 작품을 다루려 합니다
제 영상이 지친 일상 중 잠깐의 봄바람이 되기를 바라며
항상 시청해주셔서 감사합니다 :)

🎬비즈니스 문의:ted920428@gmail.com",165000,82,48130028
영화 해석,끝,UC37tNhF1_Ko-SS2AUG_I5jA,.,34500,15,5795955
영화 해석,영화장수 루피형아 LuffyHyungA the Movie Vendor,UC3y8ONb8IinVJoMSXjK1J6w,"안녕하세요.
영화블로거 9년차 & 상당수의 영화사와 함께 하고 있습니다.

* 줄거리만 읊지 않고 영화에 대한 개인적인 해석과 의미까지 더 해진 진짜 리뷰.
* 하나의 장르만 편식하지 않는 진짜 영화 리뷰어.
* 사전에 저작권을 먼저 허락 받는 영화 리뷰어.
* 제보회 및 행사장 직캠으로 현장의 생생함까지 전달해주는 진짜 영화 쟁이.

저는 영화를 볼 때 재미도 물론 중요하지만 장면 속에 담긴 의미와 메시지에 조금 더 집중하며 관람하고 있습니다.
그래서 제 영화 소개에서는 저만이 느낀 해석과 가이드 위주로 흘러갈 수 있음을 알려드립니다.
더 많은 리뷰와 개봉예정작 영화 시사회 초대 이벤트는 1년 내내 제 블로그에서 진행 중에 있으니 많이 놀러와 주시고요.
언제나 그래왔듯 앞으로도 영화 생태계를 파괴하지 않는 건 물론, 
장르 편식을 하지 않고 더 다양한 작품들을 소개할 수 있는 루피형아가 되겠습니다.

luffyhyunga@gmail.com

- 루피형아는 크리시아미디어에 전속으로 계약된 영화 크리에이터이기도 합니다.

since 2017.12",63400,376,35873961
영화 해석,영화 재해석,UC3R98REIB3NC2rxGaFCylNg,,0,2,31
영화 해석,당신이 모르는 감독의 마음,UC7_5qVgv_T3SZG17d4fMAPA,"당신이 모르는 감독의 마음은 더욱 흥미로운 영화 감상과 교양있는 영화 수다를 위한 영화 분석 채널입니다. 연출과 촬영, 편집 기법 등 영화속에 숨겨진 수많은 장치들의 의미를 설명해 드립니다. 영화를 공부하는 학생이나 영화촬영에 관심있는 분들께도 유익한 채널입니다.

이 시리즈는 개인적으로 시각적인 연출과 편집에 관심을 두게 되면서 기획하게 되었습니다. 시간적인 여유가 충분치 않아서 자주 올리지는 못하지만 적어도 한 달에 한 편씩은 올려보려고 합니다. 북미권에서 영화제작 관련된 일을 하고 있습니다. 🎬

메일: showmethedirectorsmind@gmail.com

🎨 Channel profile picture by Joon Kim
www.joon-kim.com",23100,48,797932
영화 해석,영화보는건데,UCs9bgiMvJkS2CodV9OfeYcQ,"살아있을 때 봐야하는 명작영화 리뷰전문채널
인문학이 함께하는, 깊이있는 영화리뷰

🔗메일 문의: moviegeonde@gmail.com


",35700,107,13775686
영화 해석,해석왕 고태일 MovieMonster,UCf9maYt48dFrIZtWp1N7BGw,"🍈 영화 2616편 +α / 드라마 애니 예능 497작 +α

💀선        장 : 👱🏽‍♂️고태일
🏴‍☠️마스코트 : 🦝바람🦊땅
🧭항  해  사 : 👩🏻시츄
🎡조  타  수 : 📞모집중
💣전  투  원 : 모모, 멘탈비눗방울, Shinheeyong, 태승아하, 유병걸, 꿈밍, 만두조아, 중지
🧱목        수 : 정일지, 김다한, 최봉준, 아맥, Pringles Onion, 그림쟁이dks, 김영재

(25.01.06 기준)

해석왕 고태일 채널 
2011년 11월 22일 팟캐스트 '스무고백' 첫 방송
2012년 09월 00일 액텀 엔터테인먼트 설립
2014년 10월 11일 유튜브 '무비적부비적(식전영화)' 첫 방송
2017년 02월 00일 액텀 엔터테인먼트 폐업
2017년 03월 04일 ADBC TV 설립
",56400,1670,25776956
영화 해석,철학으로 해석하는 영화Filosophy,UCTj-oZPrp8BTtbPondE5lZw,"영화를 통해 철학을 쉽게 이해하고
철학을 통해 영화를 다양한 각도로 분석하는 채널",1310,8,224307
영화 해석,리우군의 다락방,UCJU6Tal7hGSu7MdAmKVuj-Q,"“영화를 접하지 못하신 분들은 영화로 유입 될 수 있게, 영화를 본 분들에겐 또 다른 즐거움을 제공할 수 있게!”라는 슬로건 아래/ 리뷰는 1부(스토리 텔링)와 2부(해설파트)로 이루어져 있고,

썸네일과 영상내 좌측 상단의 로고 컬러는 영화의 등급을 나타내고 있습니다.
녹색 (전체 관람가),  파랑 (12세 관람가),  
주황 (15세 관람가),  빨강 (청소년 관람불가)

좋아요(추천) 버튼을 눌러주시면 더 많은 분들이 감상하실 수 있고, 구독을 하신 뒤 종버튼을 한번 더 눌러주시면 알람기능으로 인해 더 편하게 보실 수 있습니다.

ASMR영상에 관심 있으신 분들은 리우군의 asmr채널을 구독해주세요. https://www.youtube.com/channel/UCjFtuWLNqDM8poZNomBgpvQ

 riu@daum.net 

since 20170123",186000,111,27781943
영화 해석,영화의숲,UCCu5X9UEr7ZPsLUT_IopGcg,"영화 및 애니메이션 소개와 리뷰를 진행합니다.
영상은 매주 업데이트 됩니다.",6180,125,6297592
영화 해석,인생영화: Legend Movie,UCD3TQB9--RP2sYeDjcrLYGw,"심심할때 이불 속, 화장실, 지하철에서 보면 시간이 순삭되는 미친 영화채널!!
",293000,63,119627336
영화 해석,영화 해석,UC0dFtSdkK7tR3Ibm_Dz10oQ,"같은 영화, 다른 해석
구독과 성원에 감사드립니다!
",2,11,2084
영화 해석,앵커박-영화 해석,UCR5qmU-x1OTEQhHjvmfAu1A,"재밌는 영화를 깊이 있게 보면? 더 재밌다! 
인생 영화 재주행을 돕는 영화해석

여러분의 인생 영화는 어떤 영화인가요?
저는 좋아하는 영화는 한 번 더 보고 두 번 더 봅니다. 
내 마음에 들어왔던 그 영화, 
다시 볼 때 어떤 점을 눈여겨 보면 더 재미있는지, 재주행의 재미를 더해드립니다",2440,22,964302
영화 해석,영화읽는여자,UCoMKD1IaNv7uVus222lg01g,"마블부터 명작 영화까지,  
스토리를 더 깊이 있게 해석하는 해설 중심 영화 채널입니다.

영화 속 떡밥, 캐릭터 이론, 세계관 정리부터  
쿠키 영상 해석, 감동의 순간까지 모두 담았습니다.

MCU, DC, 넷플릭스, 한국영화 등  
장르 불문, 흥미롭고 몰입감 있는 콘텐츠로 매주 업데이트!

📩 광고·제휴·문의: pcdock3321@gmail.com

",11500,212,7786569
영화 해석,무비 엑스레이 :: 영화의 메시지를 해석해보자,UCYmIcy9dUAdF7-MneyfEkzg,"이 영화의 감독은 무슨 말을 하고 싶었던 걸까?
영화에 담긴 *메시지*를 중점적으로 살펴보는 채널입니다.
영화 메시지(메세지) 해석 채널.

주로 성경적인 관점에서 영화를 살펴보고 있지만
크리스천외의 다른 분들에게도 도움이 되기를 바랍니다.

최대한 공정이용에 해당되기 위해서
영상에 필요한 장면들은 직접 그리고 있습니다.
잘 그리지는 못하지만 양해 부탁드립니다.
",60,13,11023
영화 해석,영화전문채널 Darksome,UC9JXFMvKS9ETtOevVGhRmDQ,"영화전문채널 Darksome

영화에 대하여 깊고 다양한 이야기들을
누구나 알기 쉽게 풀어서 말해주는 곳.

비지니스 문의
dpslxdh@naver.com",21400,55,5771134
영화 해석,지무비 : G Movie,UCaHGOzOyeYzLQeKsVkfLEGA,"영화&드라마&예능&패션&게임&전자제품&광고를 더 G리게.. 모든 걸 영화처럼..

세상 모든 콘텐츠를 큐레이션하다
지무비 : G Movie 

매주 토요일 오후 10시 업로드

▶비즈니스 
awayout2@naver.com
▶지무비 굿즈샵
https://smartstore.naver.com/gmovie
▶지무비 개인 인스타그램
https://www.instagram.com/awayout1/
▶지무비 공식 인스타그램 
https://www.instagram.com/G_movie__/
▶지무비 페이스북
https://www.facebook.com/pg/Gmoviee

",3800000,938,2000569705
영화 해석,서삐삐의 영화리뷰,UCqN3KpFmGuG5hPrUwpFaX9A,"안녕하세요. 
'서삐삐의 대충하는 영화리뷰'에 오신 여러분, 환영합니다! 😆

저 서삐삐는 여러분들께 
매주 어떤 영화가 괜찮은지 여러분의 영화 가이드가 되어드리고, 
개봉한 영화를 리뷰하면서 여러분과 감상을 나누고 소통하고 싶습니다!
그리고 영화를 해석해보고 설명하면서 함께 영화를 즐겨봐요.

그럼 매주 만나요~",7990,34,1687181
